id,family,length,theta_global,delta_norm_pred,delta_theta_1,delta_theta_2,delta_theta_3,delta_theta_4
group_I_intron-IE-Cky.S1199_p10,group_I_intron,401,"[-0.4995006322860718, -0.05748400464653969, -0.0700346976518631, -0.018987152725458145]",0.03559676557779312,0.02327534556388855,0.017139635980129242,0.020766817033290863,0.0006002169102430344
group_I_intron-IC1-Pst.S943,group_I_intron,394,"[-0.4995006322860718, -0.05748400464653969, -0.0700346976518631, -0.018987152725458145]",0.03422725200653076,0.018121387809515,0.020704539492726326,0.020259780809283257,0.0019958708435297012
group_I_intron-IC1-Cpu.S1506,group_I_intron,476,"[-0.4995006322860718, -0.05748400464653969, -0.0700346976518631, -0.018987152725458145]",0.03700714185833931,0.022663787007331848,0.0188485998660326,0.022239908576011658,-0.0024490710347890854
group_I_intron-IE1-Leo_sp-1.S516_p10,group_I_intron,352,"[-0.4995006322860718, -0.05748400464653969, -0.0700346976518631, -0.018987152725458145]",0.03424014523625374,0.02178770676255226,0.01737191714346409,0.01967056281864643,0.0029947906732559204
group_I_intron-IC1-Tle.S891-2,group_I_intron,403,"[-0.4995006322860718, -0.05748400464653969, -0.0700346976518631, -0.018987152725458145]",0.034373823553323746,0.017838716506958008,0.021059194579720497,0.02042170986533165,0.0016745775938034058
group_I_intron-IE1-Cca.S516_p1,group_I_intron,324,"[-0.4995006322860718, -0.05748400464653969, -0.0700346976518631, -0.018987152725458145]",0.037865571677684784,0.030401406809687614,0.010740743950009346,0.019715268164873123,0.0023453310132026672
group_I_intron-IC1-Cli.S943-2,group_I_intron,401,"[-0.4995006322860718, -0.05748400464653969, -0.0700346976518631, -0.018987152725458145]",0.03520195558667183,0.022050902247428894,0.01801476441323757,0.020679984241724014,0.0008612833917140961
group_I_intron-IC1-Uma.S943,group_I_intron,426,"[-0.4995006322860718, -0.05748400464653969, -0.0700346976518631, -0.018987152725458145]",0.03489187732338905,0.018134400248527527,0.02123790606856346,0.020907726138830185,0.0006364323198795319
group_I_intron-IC1-Ssc.L798-4,group_I_intron,323,"[-0.4995006322860718, -0.05748400464653969, -0.0700346976518631, -0.018987152725458145]",0.03343774750828743,0.02050044760107994,0.01780015043914318,0.018992910161614418,0.004498723894357681
tmRNA-Ther.ther._TRW-300852,tmRNA,349,"[-0.4995006322860718, -0.05748400464653969, -0.0700346976518631, -0.018987152725458145]",0.038284577429294586,0.030534010380506516,0.011069927364587784,0.020230159163475037,0.001257164403796196
tmRNA-Acti.pleu._TRW-44294,tmRNA,366,"[-0.4995006322860718, -0.05748400464653969, -0.0700346976518631, -0.018987152725458145]",0.03399666026234627,0.01987575739622116,0.01897583343088627,0.019818048924207687,0.00280890055000782
tmRNA-Trep.pall._TRW-243276,tmRNA,354,"[-0.4995006322860718, -0.05748400464653969, -0.0700346976518631, -0.018987152725458145]",0.03534303978085518,0.024776572361588478,0.015269647352397442,0.019922960549592972,0.002272738143801689
tmRNA-uncu.bact._TRW-80840-2,tmRNA,379,"[-0.4995006322860718, -0.05748400464653969, -0.0700346976518631, -0.018987152725458145]",0.03581411391496658,0.024900853633880615,0.015604779124259949,0.02043726295232773,0.001186346635222435
tmRNA-Aqui.aeol._TRW-63363,tmRNA,347,"[-0.4995006322860718, -0.05748400464653969, -0.0700346976518631, -0.018987152725458145]",0.037309933453798294,0.028948653489351273,0.012169089168310165,0.020077291876077652,0.0016799736768007278
tmRNA-Stap.epid._AF375586,tmRNA,311,"[-0.4995006322860718, -0.05748400464653969, -0.0700346976518631, -0.018987152725458145]",0.032749466598033905,0.01764339953660965,0.019638625904917717,0.0185476653277874,0.005616629496216774
tmRNA-envi.sequ._TRW-32045-3,tmRNA,350,"[-0.4995006322860718, -0.05748400464653969, -0.0700346976518631, -0.018987152725458145]",0.0332956463098526,0.01694032922387123,0.020802494138479233,0.019286366179585457,0.004113098606467247
tmRNA-Myco.pene._BA000026,tmRNA,405,"[-0.4995006322860718, -0.05748400464653969, -0.0700346976518631, -0.018987152725458145]",0.03457321226596832,0.011727823875844479,0.025460656732320786,0.020028788596391678,0.0028926972299814224
tmRNA-Yers.pseu._AR948532,tmRNA,364,"[-0.4995006322860718, -0.05748400464653969, -0.0700346976518631, -0.018987152725458145]",0.03422742709517479,0.021008871495723724,0.018132062628865242,0.019857965409755707,0.0026520974934101105
tmRNA-Clos.perf._CP000246,tmRNA,361,"[-0.4995006322860718, -0.05748400464653969, -0.0700346976518631, -0.018987152725458145]",0.033674560487270355,0.018582578748464584,0.019815295934677124,0.019625242799520493,0.003296598792076111
tmRNA-Xant.camp._AE012247,tmRNA,397,"[-0.4995006322860718, -0.05748400464653969, -0.0700346976518631, -0.018987152725458145]",0.03540331870317459,0.022932888939976692,0.017316561192274094,0.020661652088165283,0.0008428152650594711
tmRNA-Ther.elon._BA000039,tmRNA,386,"[-0.4995006322860718, -0.05748400464653969, -0.0700346976518631, -0.018987152725458145]",0.03468726947903633,0.02124306745827198,0.018337761983275414,0.02031940221786499,0.0016694571822881699
tmRNA-Baci.clau._AP006627,tmRNA,355,"[-0.4995006322860718, -0.05748400464653969, -0.0700346976518631, -0.018987152725458145]",0.034282706677913666,0.021763060241937637,0.01744040846824646,0.01972947269678116,0.0028728581964969635
tmRNA-envi.sequ._TRW-32045-1,tmRNA,355,"[-0.4995006322860718, -0.05748400464653969, -0.0700346976518631, -0.018987152725458145]",0.03340316191315651,0.017198819667100906,0.020702539011836052,0.019405793398618698,0.003846006467938423
tmRNA-Stre.ther._CP000024,tmRNA,350,"[-0.4995006322860718, -0.05748400464653969, -0.0700346976518631, -0.018987152725458145]",0.03333217650651932,0.01736118644475937,0.020501701161265373,0.019316211342811584,0.004023365676403046
tmRNA-Soda.glos._AP008232,tmRNA,384,"[-0.4995006322860718, -0.05748400464653969, -0.0700346976518631, -0.018987152725458145]",0.034331586211919785,0.019900627434253693,0.019263306632637978,0.020183762535452843,0.0020404737442731857
tmRNA-Xyle.fast._AE003849,tmRNA,355,"[-0.4995006322860718, -0.05748400464653969, -0.0700346976518631, -0.018987152725458145]",0.03525682911276817,0.024529263377189636,0.015463359653949738,0.019925642758607864,0.0022830720990896225
tmRNA-Stap.aure._BA000018,tmRNA,362,"[-0.4995006322860718, -0.05748400464653969, -0.0700346976518631, -0.018987152725458145]",0.03355931118130684,0.0175422765314579,0.02057577297091484,0.019571688026189804,0.0034760069102048874
tmRNA-Bact.mari._TRW-97084,tmRNA,385,"[-0.4995006322860718, -0.05748400464653969, -0.0700346976518631, -0.018987152725458145]",0.03416769951581955,0.01891573704779148,0.019984181970357895,0.020134136080741882,0.0022080689668655396
tmRNA-List.mono._AL591983,tmRNA,370,"[-0.4995006322860718, -0.05748400464653969, -0.0700346976518631, -0.018987152725458145]",0.03385462611913681,0.018706107512116432,0.01987963169813156,0.019815977662801743,0.002888699993491173
tmRNA-Pelo.carb._CP000142,tmRNA,358,"[-0.4995006322860718, -0.05748400464653969, -0.0700346976518631, -0.018987152725458145]",0.03440746292471886,0.022011732682585716,0.017313553020358086,0.019807767122983932,0.002692651003599167
tmRNA-Baci.anth._AE016879,tmRNA,355,"[-0.4995006322860718, -0.05748400464653969, -0.0700346976518631, -0.018987152725458145]",0.03382434323430061,0.019965026527643204,0.01872549019753933,0.019601963460445404,0.003256220370531082
tmRNA-Salm.ente._TRW-295319,tmRNA,363,"[-0.4995006322860718, -0.05748400464653969, -0.0700346976518631, -0.018987152725458145]",0.03463244438171387,0.022459084168076515,0.017078615725040436,0.019940588623285294,0.002385290339589119
tmRNA-Ther.mari._TRW-243274-1,tmRNA,356,"[-0.4995006322860718, -0.05748400464653969, -0.0700346976518631, -0.018987152725458145]",0.036081474274396896,0.026352012529969215,0.01417757198214531,0.020075123757123947,0.0018520448356866837
tmRNA-Geob.sulf._AE017180,tmRNA,356,"[-0.4995006322860718, -0.05748400464653969, -0.0700346976518631, -0.018987152725458145]",0.03501223772764206,0.02386942319571972,0.015951916575431824,0.019899068400263786,0.002381362020969391
tmRNA-Stap.epid._TRW-1282-1,tmRNA,361,"[-0.4995006322860718, -0.05748400464653969, -0.0700346976518631, -0.018987152725458145]",0.033523231744766235,0.01735847443342209,0.020690180361270905,0.019538434222340584,0.0035575907677412033
tmRNA-Lact.acid._CP000033,tmRNA,369,"[-0.4995006322860718, -0.05748400464653969, -0.0700346976518631, -0.018987152725458145]",0.03357071056962013,0.015337144955992699,0.022270523011684418,0.019556844606995583,0.0036493968218564987
tmRNA-Esch.coli._CP000468,tmRNA,363,"[-0.4995006322860718, -0.05748400464653969, -0.0700346976518631, -0.018987152725458145]",0.03438492491841316,0.021647509187459946,0.0176586601883173,0.019883036613464355,0.0025583282113075256
tmRNA-Geob.meta._CP000148,tmRNA,356,"[-0.4995006322860718, -0.05748400464653969, -0.0700346976518631, -0.018987152725458145]",0.03506529703736305,0.024007344618439674,0.015853341668844223,0.019908849149942398,0.0023519545793533325
tmRNA-Camp.coli._TRW-306254,tmRNA,359,"[-0.4995006322860718, -0.05748400464653969, -0.0700346976518631, -0.018987152725458145]",0.03345557302236557,0.01698734052479267,0.02092151902616024,0.019471675157546997,0.0037215128540992737
tmRNA-Shig.dyse._CP000034,tmRNA,363,"[-0.4995006322860718, -0.05748400464653969, -0.0700346976518631, -0.018987152725458145]",0.034464314579963684,0.02191803604364395,0.017465312033891678,0.019902219995856285,0.00250064954161644
tmRNA-Bact.frag._CR626927,tmRNA,398,"[-0.4995006322860718, -0.05748400464653969, -0.0700346976518631, -0.018987152725458145]",0.0342399962246418,0.01752951554954052,0.021195391193032265,0.020298685878515244,0.001952480524778366
tmRNA-Guil.thet._AF041468,tmRNA,327,"[-0.4995006322860718, -0.05748400464653969, -0.0700346976518631, -0.018987152725458145]",0.033211320638656616,0.011390547268092632,0.02437896467745304,0.01842774823307991,0.006271476857364178
tmRNA-Myco.geni._TRW-243273,tmRNA,388,"[-0.4995006322860718, -0.05748400464653969, -0.0700346976518631, -0.018987152725458145]",0.03403657674789429,0.013206633739173412,0.024115439504384995,0.0197899267077446,0.0032981261610984802
tmRNA-Meth.caps._AE017282,tmRNA,356,"[-0.4995006322860718, -0.05748400464653969, -0.0700346976518631, -0.018987152725458145]",0.03528514876961708,0.024559030309319496,0.01545904390513897,0.019947972148656845,0.0022343285381793976
tmRNA-Paen.larv._TRW-1464,tmRNA,367,"[-0.4995006322860718, -0.05748400464653969, -0.0700346976518631, -0.018987152725458145]",0.0344185009598732,0.021521104499697685,0.017816836014389992,0.019954949617385864,0.002415696159005165
tmRNA-Burk.fung._TRW-266265,tmRNA,370,"[-0.4995006322860718, -0.05748400464653969, -0.0700346976518631, -0.018987152725458145]",0.034784384071826935,0.02255449816584587,0.01712912879884243,0.020088892430067062,0.002068178728222847
tmRNA-Bord.aviu._AM167904,tmRNA,406,"[-0.4995006322860718, -0.05748400464653969, -0.0700346976518631, -0.018987152725458145]",0.03533860668540001,0.022179150953888893,0.018007894977927208,0.02079017460346222,0.0006219614297151566
tmRNA-uncu.bact._TRW-32033-1,tmRNA,354,"[-0.4995006322860718, -0.05748400464653969, -0.0700346976518631, -0.018987152725458145]",0.035460639744997025,0.025053976103663445,0.015071382746100426,0.01994263380765915,0.0022135917097330093
tmRNA-Grac.tenu._AY673996,tmRNA,396,"[-0.4995006322860718, -0.05748400464653969, -0.0700346976518631, -0.018987152725458145]",0.03606831282377243,0.005921171512454748,0.02945813350379467,0.01943502575159073,0.004512304440140724
tmRNA-Baci.subt._TRW-1423,tmRNA,363,"[-0.4995006322860718, -0.05748400464653969, -0.0700346976518631, -0.018987152725458145]",0.03403559327125549,0.02029488980770111,0.018625397235155106,0.01978711225092411,0.0028467215597629547
tmRNA-Shig.sonn._CP000038,tmRNA,363,"[-0.4995006322860718, -0.05748400464653969, -0.0700346976518631, -0.018987152725458145]",0.03438492491841316,0.021647509187459946,0.0176586601883173,0.019883036613464355,0.0025583282113075256
tmRNA-Haem.infl._L42023,tmRNA,366,"[-0.4995006322860718, -0.05748400464653969, -0.0700346976518631, -0.018987152725458145]",0.033942077308893204,0.01960745081305504,0.019167594611644745,0.019799020141363144,0.0028661061078310013
tmRNA-Psyc.cryo._CP000323,tmRNA,359,"[-0.4995006322860718, -0.05748400464653969, -0.0700346976518631, -0.018987152725458145]",0.033569060266017914,0.01808149367570877,0.020139511674642563,0.01954926922917366,0.0034882258623838425
tmRNA-Pseu.syri._CP000058,tmRNA,388,"[-0.4995006322860718, -0.05748400464653969, -0.0700346976518631, -0.018987152725458145]",0.034611400216817856,0.020799439400434494,0.0186887476593256,0.020328380167484283,0.0016792546957731247
tmRNA-Prop.acne._TRW-1747-2,tmRNA,353,"[-0.4995006322860718, -0.05748400464653969, -0.0700346976518631, -0.018987152725458145]",0.034395795315504074,0.02224324829876423,0.017063293606042862,0.019723087549209595,0.0028552673757076263
tmRNA-Azot.vine._TRW-354,tmRNA,352,"[-0.4995006322860718, -0.05748400464653969, -0.0700346976518631, -0.018987152725458145]",0.03484613820910454,0.023601064458489418,0.01607588306069374,0.019799157977104187,0.0026081614196300507
tmRNA-envi.sequ._TRW-32045-2,tmRNA,345,"[-0.4995006322860718, -0.05748400464653969, -0.0700346976518631, -0.018987152725458145]",0.03315071389079094,0.01567409187555313,0.02162270061671734,0.019095472991466522,0.0045950524508953094
tmRNA-uncu.bact._TRW-135621-1,tmRNA,397,"[-0.4995006322860718, -0.05748400464653969, -0.0700346976518631, -0.018987152725458145]",0.034762151539325714,0.02070668525993824,0.018907662481069565,0.020503778010606766,0.0013174675405025482
tmRNA-Kleb.pneu._TRW-272620,tmRNA,363,"[-0.4995006322860718, -0.05748400464653969, -0.0700346976518631, -0.018987152725458145]",0.034346409142017365,0.02151224948465824,0.017755333334207535,0.019873443990945816,0.0025871675461530685
tmRNA-Para.symb._BX908798,tmRNA,405,"[-0.4995006322860718, -0.05748400464653969, -0.0700346976518631, -0.018987152725458145]",0.03429067134857178,0.014516226947307587,0.023467743769288063,0.020226530730724335,0.0022981781512498856
tmRNA-Synt.acid._CP000252,tmRNA,356,"[-0.4995006322860718, -0.05748400464653969, -0.0700346976518631, -0.018987152725458145]",0.034010764211416245,0.020697223022580147,0.01821913570165634,0.019674107432365417,0.003057710826396942
tmRNA-Shig.flex._CP000266,tmRNA,363,"[-0.4995006322860718, -0.05748400464653969, -0.0700346976518631, -0.018987152725458145]",0.03438492491841316,0.021647509187459946,0.0176586601883173,0.019883036613464355,0.0025583282113075256
tmRNA-Stre.gord._TRW-29390,tmRNA,349,"[-0.4995006322860718, -0.05748400464653969, -0.0700346976518631, -0.018987152725458145]",0.03326455131173134,0.016746576875448227,0.02092401310801506,0.019252406433224678,0.004196804016828537
tmRNA-Colw.psyc._CP000083,tmRNA,350,"[-0.4995006322860718, -0.05748400464653969, -0.0700346976518631, -0.018987152725458145]",0.033989664167165756,0.021008627489209175,0.017894819378852844,0.019574875012040138,0.0032456908375024796
tmRNA-Chlo.tepi._TRW-194439,tmRNA,404,"[-0.4995006322860718, -0.05748400464653969, -0.0700346976518631, -0.018987152725458145]",0.03498130291700363,0.021034827455878258,0.018791843205690384,0.02066858485341072,0.0009507331997156143
tmRNA-Myco.tube._TRW-164513,tmRNA,368,"[-0.4995006322860718, -0.05748400464653969, -0.0700346976518631, -0.018987152725458145]",0.03615286201238632,0.02609269693493843,0.014566409401595592,0.020299367606639862,0.0013985857367515564
tmRNA-Chlo.chlo._CP000108,tmRNA,401,"[-0.4995006322860718, -0.05748400464653969, -0.0700346976518631, -0.018987152725458145]",0.03432510048151016,0.017765354365110397,0.021077709272503853,0.020376067608594894,0.001775011420249939
tmRNA-Prop.acne._AE017283,tmRNA,371,"[-0.4995006322860718, -0.05748400464653969, -0.0700346976518631, -0.018987152725458145]",0.03518040105700493,0.023644905537366867,0.016366757452487946,0.020186439156532288,0.00179329514503479
tmRNA-Pseu.fluo._CP000094,tmRNA,390,"[-0.4995006322860718, -0.05748400464653969, -0.0700346976518631, -0.018987152725458145]",0.034665290266275406,0.02086338773369789,0.018676958978176117,0.020373355597257614,0.0015808288007974625
tmRNA-Myco.hyop._TRW-262719,tmRNA,433,"[-0.4995006322860718, -0.05748400464653969, -0.0700346976518631, -0.018987152725458145]",0.036256350576877594,0.0074568092823028564,0.028988048434257507,0.020292049273848534,0.0026162471622228622
tmRNA-Buch.aphi._AE013218,tmRNA,376,"[-0.4995006322860718, -0.05748400464653969, -0.0700346976518631, -0.018987152725458145]",0.03399279713630676,0.011770449578762054,0.024938400834798813,0.019445445388555527,0.004113087430596352
tmRNA-Myco.hyop._TRW-295358,tmRNA,424,"[-0.4995006322860718, -0.05748400464653969, -0.0700346976518631, -0.018987152725458145]",0.03603577986359596,0.00753442756831646,0.028779948130249977,0.020115578547120094,0.0029812604188919067
tmRNA-Chla.abor._CR848038,tmRNA,425,"[-0.4995006322860718, -0.05748400464653969, -0.0700346976518631, -0.018987152725458145]",0.03470318391919136,0.014984249137341976,0.023472407832741737,0.020664110779762268,0.00135047547519207
tmRNA-Chla.cavi._AE015925,tmRNA,425,"[-0.4995006322860718, -0.05748400464653969, -0.0700346976518631, -0.018987152725458145]",0.03469974920153618,0.015330838970839977,0.023224694654345512,0.02068869024515152,0.0012765787541866302
tmRNA-Ther.yell._TRW-289376,tmRNA,350,"[-0.4995006322860718, -0.05748400464653969, -0.0700346976518631, -0.018987152725458145]",0.034311432391405106,0.022130915895104408,0.01709270291030407,0.019654463976621628,0.0030064061284065247
tmRNA-Dict.ther._TRW-14,tmRNA,350,"[-0.4995006322860718, -0.05748400464653969, -0.0700346976518631, -0.018987152725458145]",0.03414372727274895,0.021569769829511642,0.01749376207590103,0.01961466856300831,0.0031260475516319275
tmRNA-Myco.pulm._AL445565,tmRNA,387,"[-0.4995006322860718, -0.05748400464653969, -0.0700346976518631, -0.018987152725458145]",0.03420610725879669,0.011758968234062195,0.025133147835731506,0.019667044281959534,0.003649182617664337
tmRNA-Prot.mira._TRW-584,tmRNA,367,"[-0.4995006322860718, -0.05748400464653969, -0.0700346976518631, -0.018987152725458145]",0.03399499133229256,0.019781865179538727,0.01905989833176136,0.01983160898089409,0.0027865227311849594
tmRNA-Lact.sake._TRW-314315,tmRNA,370,"[-0.4995006322860718, -0.05748400464653969, -0.0700346976518631, -0.018987152725458145]",0.03381477668881416,0.018440701067447662,0.020069321617484093,0.019797157496213913,0.0029452871531248093
tmRNA-Lact.delb._TRW-321956,tmRNA,362,"[-0.4995006322860718, -0.05748400464653969, -0.0700346976518631, -0.018987152725458145]",0.03386538103222847,0.01957681216299534,0.01912165991961956,0.019715968519449234,0.0030422210693359375
tmRNA-Pseu.fluo._CP000076,tmRNA,394,"[-0.4995006322860718, -0.05748400464653969, -0.0700346976518631, -0.018987152725458145]",0.0348377525806427,0.021236877888441086,0.018477853387594223,0.020480718463659286,0.001331612467765808
SRP-protozoan-Tryp.cong._SDB-5692,SRP,279,"[-0.4995006322860718, -0.05748400464653969, -0.0700346976518631, -0.018987152725458145]",0.03712715953588486,0.030036116018891335,0.010238700546324253,0.018779486417770386,0.004331022500991821
SRP-small_bacterial-Stre.agal._CP000114,SRP,77,"[-0.4995006322860718, -0.05748400464653969, -0.0700346976518631, -0.018987152725458145]",0.035146694630384445,0.027839628979563713,0.00838298350572586,0.014539379626512527,0.013363275676965714
